"mainTitle","productTitle","prices","details","images"
"Notre Pâtisserie","Double Choco Moose (Patisserie)",,"[""Offrez-vous un rêve pour les amateurs de chocolat avec notre Mousse Double Choco ! Ce dessert décadent comprend des couches de mousse au chocolat riche et de ganache au chocolat veloutée, créant une harmonie parfaite de saveurs et de textures. Garni de copeaux de chocolat et d'un filet de sauce au chocolat, c'est l'accompagnement sucré ultime pour combler vos envies de dessert.""]",
"Choix de Tarte","Tarte Pomme/ Apple Pie",,"[""Offrez-vous une part ou savourez une tarte entière de notre Tarte aux Pommes ! Ce dessert classique comprend une croûte feuilletée et beurrée remplie de pommes tendres, aromatisées à la cannelle et avec une touche de sucre roux. Surmontée d'une croûte en treillis et saupoudrée de sucre à la cannelle, c'est un goût réconfortant de nostalgie. Personnalisez votre tarte avec des garnitures décoratives comme de la crème glacée à la vanille ou un filet de caramel pour une touche supplémentaire de douceur. Que vous célébriez une occasion spéciale ou simplement ayez envie d'une gourmandise réconfortante, notre Tarte aux Pommes saura réchauffer votre cœur.""]",
"Choix de Viennoiserie","Viennoise Chocolatine / Viennese Chocolatine",,"[""Laissez-vous tenter par une expérience pâtissière française classique avec notre Chocolatine Viennnoise ! Cette délicieuse pâtisserie comprend une pâte viennoise feuilletée et beurrée garnie d'une crème de chocolat riche et surmontée d'une pincée de sucre glace. Cuite à la perfection dorée, c'est un parfait équilibre entre la bonté beurrée et le chocolat décadent. Que vous débutiez votre journée avec une douce gâterie pour le petit-déjeuner ou que vous vous offriez une collation pour le déjeuner, notre Chocolatine Viennnoise saura combler vos envies de quelque chose de délicieux."",""Plongez dans un monde de délicieux muffins avec notre grande variété de saveurs ! Du classique aux bleuets au décadent aux pépites de chocolat, nous proposons quelque chose pour chaque envie. Nos muffins sont fraîchement cuits à la perfection, avec une mie moelleuse et tendre qui vous laissera en redemander. Que vous débutiez votre journée avec une douceur ou que vous satisfassiez vos envies de collation de l'après-midi, notre Sélection de Muffins saura ravir vos papilles gustatives.""]",
"Choix de Viennoiserie","Choix de Muffins",,"[""Laissez-vous tenter par une expérience pâtissière française classique avec notre Chocolatine Viennnoise ! Cette délicieuse pâtisserie comprend une pâte viennoise feuilletée et beurrée garnie d'une crème de chocolat riche et surmontée d'une pincée de sucre glace. Cuite à la perfection dorée, c'est un parfait équilibre entre la bonté beurrée et le chocolat décadent. Que vous débutiez votre journée avec une douce gâterie pour le petit-déjeuner ou que vous vous offriez une collation pour le déjeuner, notre Chocolatine Viennnoise saura combler vos envies de quelque chose de délicieux."",""Plongez dans un monde de délicieux muffins avec notre grande variété de saveurs ! Du classique aux bleuets au décadent aux pépites de chocolat, nous proposons quelque chose pour chaque envie. Nos muffins sont fraîchement cuits à la perfection, avec une mie moelleuse et tendre qui vous laissera en redemander. Que vous débutiez votre journée avec une douceur ou que vous satisfassiez vos envies de collation de l'après-midi, notre Sélection de Muffins saura ravir vos papilles gustatives.""]",
"Nos Macaron","Macaron Framboise / Raspberry Macaron",,"[""Plongez dans une explosion de saveur fruitée avec notre Macaron Framboise ! Cette élégante pâtisserie française comprend deux coques de meringue aux amandes infusées de l'essence des framboises, garnies d'une ganache framboise onctueuse et délicieuse. Avec sa teinte rose vibrante et son goût acidulé-sucré, chaque bouchée est une délicieuse gâterie pour vos sens. Que vous soyez un amateur de framboises ou simplement en quête d'une touche estivale, notre Macaron Framboise saura illuminer votre journée""]",
"Notre Bhar Nutrition","Café protéiné",,"[""Dynamisez votre journée avec notre Café Protéiné, un délicieux mélange de café corsé infusé de protéines, offrant un coup de pouce satisfaisant et nutritif à votre routine matinale."",""Revigorez vos sens avec notre Thé Énergisant, un mélange rafraîchissant d'herbes et d'épices revigorantes conçu pour vous fournir un regain d'énergie et de concentration naturel tout au long de votre journée.""]",
"Notre Bhar Nutrition","Thé Énergisant",,"[""Dynamisez votre journée avec notre Café Protéiné, un délicieux mélange de café corsé infusé de protéines, offrant un coup de pouce satisfaisant et nutritif à votre routine matinale."",""Revigorez vos sens avec notre Thé Énergisant, un mélange rafraîchissant d'herbes et d'épices revigorantes conçu pour vous fournir un regain d'énergie et de concentration naturel tout au long de votre journée.""]",
"Nos Breuvages","Breuvage Froid",,"[""Dégustez notre sélection de boissons fraîches, parfaites pour se rafraîchir par une journée chaude ou pour accompagner votre repas.""]",
"Nos Rafraîchissement","Jus Simply (500Ml)",,"[""Savourez le goût pur et naturel de notre Jus Simply, une boisson rafraîchissante élaborée avec des fruits de haute qualité, soigneusement sélectionnés et pressés à froid pour préserver leurs saveurs fraîches et leurs nutriments."",""la boisson gazeuse emblématique aimée dans le monde entier pour son goût rafraîchissant et son pétillant unique""]",
"Nos Rafraîchissement","la boisson gazeuse",,"[""Savourez le goût pur et naturel de notre Jus Simply, une boisson rafraîchissante élaborée avec des fruits de haute qualité, soigneusement sélectionnés et pressés à froid pour préserver leurs saveurs fraîches et leurs nutriments."",""la boisson gazeuse emblématique aimée dans le monde entier pour son goût rafraîchissant et son pétillant unique""]",
"Notre creperie","Nos Crêpes",,"[""Un délice sucré ou salé, nos crêpes sont préparées avec amour et expertise. Légères, moelleuses et délicieusement garnies, elles sont une invitation à un festin pour les papilles. Que vous préfériez les classiques comme la crêpe au sucre ou que vous soyez tenté par des combinaisons plus audacieuses comme la crêpe au poulet et champignons, nous avons une option pour combler toutes les envies. Savourez nos crêpes au petit-déjeuner, au déjeuner ou au dîner, pour une expérience culinaire inoubliable à chaque bouchée.""]",
"Notre creperie","Nos Gauffre",,"[""Un délice sucré ou salé, nos crêpes sont préparées avec amour et expertise. Légères, moelleuses et délicieusement garnies, elles sont une invitation à un festin pour les papilles. Que vous préfériez les classiques comme la crêpe au sucre ou que vous soyez tenté par des combinaisons plus audacieuses comme la crêpe au poulet et champignons, nous avons une option pour combler toutes les envies. Savourez nos crêpes au petit-déjeuner, au déjeuner ou au dîner, pour une expérience culinaire inoubliable à chaque bouchée.""]",
"Notre Crémerie","Nos Sundae",,"[""Laissez-vous tenter par une gâterie décadente avec nos irrésistibles sundae, composés de couches de crème glacée onctueuse nappées de succulents toppings chocolat, caramel et fraise."",""Laissez-vous tenter par un pur délice avec nos sundae somptueux, dévoilant des couches de crème glacée onctueuse ornées d'une multitude de garnitures irrésistibles, offrant une expérience dessert vraiment luxueuse.""]",
"Notre Crémerie","Nos Decadent Sundae",,"[""Laissez-vous tenter par une gâterie décadente avec nos irrésistibles sundae, composés de couches de crème glacée onctueuse nappées de succulents toppings chocolat, caramel et fraise."",""Laissez-vous tenter par un pur délice avec nos sundae somptueux, dévoilant des couches de crème glacée onctueuse ornées d'une multitude de garnitures irrésistibles, offrant une expérience dessert vraiment luxueuse.""]",
"Notre Menu Mexican","BURRITOS",,"[""De généreux en-cas mexicains, des tortillas de farine moelleuses garnies d'un choix de viande assaisonnée (comme du bœuf, du poulet ou du porc), de riz, de haricots, de fromage, de crème sure, de salsa et d'autres garnitures savoureuses, le tout enveloppé dans une tortilla de farine. Ces délices à tenir à la main offrent une délicieuse combinaison de saveurs et de textures, parfaites pour tout repas."",""Un délicieux plat mexicain composé de deux tortillas garnies de fromage fondu et d'une variété de garnitures savoureuses telles que de la viande assaisonnée (poulet, bœuf ou porc), des légumes et des haricots. Ces tortillas sont ensuite grillées ou toastées jusqu'à ce qu'elles soient croustillantes et dorées, créant ainsi une croûte extérieure satisfaisante avec un intérieur fondant et fromageux. Les quesadillas sont souvent servies avec de la salsa, du guacamole et de la crème sure pour tremper, ajoutant des couches supplémentaires de saveur à ce délicieux plat.""]",
"Notre Menu Mexican","QUESADILLAS",,"[""De généreux en-cas mexicains, des tortillas de farine moelleuses garnies d'un choix de viande assaisonnée (comme du bœuf, du poulet ou du porc), de riz, de haricots, de fromage, de crème sure, de salsa et d'autres garnitures savoureuses, le tout enveloppé dans une tortilla de farine. Ces délices à tenir à la main offrent une délicieuse combinaison de saveurs et de textures, parfaites pour tout repas."",""Un délicieux plat mexicain composé de deux tortillas garnies de fromage fondu et d'une variété de garnitures savoureuses telles que de la viande assaisonnée (poulet, bœuf ou porc), des légumes et des haricots. Ces tortillas sont ensuite grillées ou toastées jusqu'à ce qu'elles soient croustillantes et dorées, créant ainsi une croûte extérieure satisfaisante avec un intérieur fondant et fromageux. Les quesadillas sont souvent servies avec de la salsa, du guacamole et de la crème sure pour tremper, ajoutant des couches supplémentaires de saveur à ce délicieux plat.""]",
"Notre menu equatorien","Syrup",,"[""Laissez-vous tenter par la douce nostalgie du Syrup, une délicieuse fusion de saveurs de soda classiques et de sirop d'érable riche, offrant une expérience de boisson rafraîchissante et typiquement canadienne.""]",
"Notre Boulangerie","Muffin Anglais",,"[""Commencez bien votre journée avec nos muffins anglais fraîchement cuits ! Savourez la combinaison parfaite de texture moelleuse et de délice beurré à chaque bouchée. Que vous les préfériez nature ou garnis de votre tartinade préférée, nos muffins anglais sauront certainement combler vos envies de petit-déjeuner.""]",
"Resto fix","Clean water",,"[]",
"PIZZA","10"" Pain Magique Fromage",,"[]",
"Combo Pizza","Festin Familial",,"[""Special 2 Pizzas +4 pieces of Chicken or 10 Chicken Wings + 1 Medium Fries + 4 Pepsi + Eclaire"",""1 pizza, 1 Pepsi 355 mL, and 1 fries + Brownies.""]",
"Combo Pizza","Trio Pizza",,"[""Special 2 Pizzas +4 pieces of Chicken or 10 Chicken Wings + 1 Medium Fries + 4 Pepsi + Eclaire"",""1 pizza, 1 Pepsi 355 mL, and 1 fries + Brownies.""]",
"Notre Cremerie","Nos Sundae",,"[""Laissez-vous tenter par une gâterie décadente avec nos irrésistibles sundae, composés de couches de crème glacée onctueuse nappées de succulents toppings chocolat, caramel et fraise."",""Laissez-vous tenter par un pur délice avec nos sundae somptueux, dévoilant des couches de crème glacée onctueuse ornées d'une multitude de garnitures irrésistibles, offrant une expérience dessert vraiment luxueuse.""]",
"Notre Cremerie","Nos Decadent Sundae",,"[""Laissez-vous tenter par une gâterie décadente avec nos irrésistibles sundae, composés de couches de crème glacée onctueuse nappées de succulents toppings chocolat, caramel et fraise."",""Laissez-vous tenter par un pur délice avec nos sundae somptueux, dévoilant des couches de crème glacée onctueuse ornées d'une multitude de garnitures irrésistibles, offrant une expérience dessert vraiment luxueuse.""]",
"Notre Menu Mexican","BURRITOS",,"[""De généreux en-cas mexicains, des tortillas de farine moelleuses garnies d'un choix de viande assaisonnée (comme du bœuf, du poulet ou du porc), de riz, de haricots, de fromage, de crème sure, de salsa et d'autres garnitures savoureuses, le tout enveloppé dans une tortilla de farine. Ces délices à tenir à la main offrent une délicieuse combinaison de saveurs et de textures, parfaites pour tout repas"",""Un délicieux plat mexicain composé de deux tortillas garnies de fromage fondu et d'une variété de garnitures savoureuses telles que de la viande assaisonnée (poulet, bœuf ou porc), des légumes et des haricots. Ces tortillas sont ensuite grillées ou toastées jusqu'à ce qu'elles soient croustillantes et dorées, créant ainsi une croûte extérieure satisfaisante avec un intérieur fondant et fromageux. Les quesadillas sont souvent servies avec de la salsa, du guacamole et de la crème sure pour tremper, ajoutant des couches supplémentaires de saveur à ce délicieux plat.""]",
"Notre Menu Mexican","QUESADILLAS",,"[""De généreux en-cas mexicains, des tortillas de farine moelleuses garnies d'un choix de viande assaisonnée (comme du bœuf, du poulet ou du porc), de riz, de haricots, de fromage, de crème sure, de salsa et d'autres garnitures savoureuses, le tout enveloppé dans une tortilla de farine. Ces délices à tenir à la main offrent une délicieuse combinaison de saveurs et de textures, parfaites pour tout repas"",""Un délicieux plat mexicain composé de deux tortillas garnies de fromage fondu et d'une variété de garnitures savoureuses telles que de la viande assaisonnée (poulet, bœuf ou porc), des légumes et des haricots. Ces tortillas sont ensuite grillées ou toastées jusqu'à ce qu'elles soient croustillantes et dorées, créant ainsi une croûte extérieure satisfaisante avec un intérieur fondant et fromageux. Les quesadillas sont souvent servies avec de la salsa, du guacamole et de la crème sure pour tremper, ajoutant des couches supplémentaires de saveur à ce délicieux plat.""]",
"Notre Rotisserie 2","Côtés supplémentaires",,"[]",
"Nos Assiettes 2","Nos Mixte Trio",,"[]",
"Nos Assiettes 2","Nos Crevettes Trio",,"[]",
"Nos Assiettes 2","Nos Falafel Trio",,"[]",
"Nos Assiettes 2","Nos Shish Taouk Trio",,"[]",
